X1_NR_COMENZI,X2_VALOARE_TOTALA_MDL,Y_VALOARE_MEDIE_COMANDA_MDL
1,569.70,569.70
1,526.32,526.32
1,995.41,995.41
1,792.68,792.68
1,142.67,142.67
1,341.39,341.39
1,574.26,574.26
1,451.90,451.90
1,379.58,379.58
1,310.57,310.57
1,146.29,146.29
1,340.76,340.76
1,444.05,444.05
1,407.42,407.42
1,654.88,654.88
1,528.22,528.22
1,268.07,268.07
1,421.10,421.10
1,821.44,821.44
1,782.06,782.06
1,835.49,835.49
1,834.61,834.61
1,488.74,488.74
1,409.40,409.40
1,344.64,344.64
1,355.17,355.17
1,284.56,284.56
1,421.33,421.33
1,909.39,909.39
1,936.24,936.24
1,146.29,146.29
1,340.76,340.76
1,444.05,444.05
1,407.42,407.42
1,654.88,654.88
1,528.22,528.22
1,268.07,268.07
1,421.10,421.10
1,821.44,821.44
1,782.06,782.06
1,835.49,835.49
1,834.61,834.61
1,488.74,488.74
1,409.40,409.40
1,344.64,344.64
1,355.17,355.17
1,284.56,284.56
1,421.33,421.33
1,909.39,909.39
1,936.24,936.24
1,569.70,569.70
1,526.32,526.32
1,995.41,995.41
1,792.68,792.68
1,142.67,142.67
1,341.39,341.39
1,574.26,574.26
1,451.90,451.90
1,379.58,379.58
1,310.57,310.57
1,146.29,146.29
1,340.76,340.76
1,444.05,444.05
1,407.42,407.42
1,654.88,654.88
1,528.22,528.22
1,268.07,268.07
1,421.10,421.10
1,821.44,821.44
1,782.06,782.06
1,835.49,835.49
1,834.61,834.61
1,488.74,488.74
1,409.40,409.40
1,344.64,344.64
1,355.17,355.17
1,284.56,284.56
1,421.33,421.33
1,909.39,909.39
1,936.24,936.24
1,270.01,270.01
1,143.43,143.43
1,252.34,252.34
1,493.19,493.19
1,519.88,519.88
1,254.89,254.89
1,435.24,435.24
1,471.37,471.37
1,192.74,192.74
1,322.56,322.56
1,483.47,483.47
1,503.70,503.70
1,844.40,844.40
1,969.79,969.79
1,390.89,390.89
1,203.91,203.91
1,693.38,693.38
1,849.68,849.68
1,818.25,818.25
1,708.45,708.45
1,462.84,462.84
1,394.24,394.24
1,546.22,546.22
1,515.92,515.92
1,214.56,214.56
1,281.51,281.51
1,839.07,839.07
1,813.33,813.33
1,267.57,267.57
1,304.89,304.89
1,270.01,270.01
1,143.43,143.43
1,252.34,252.34
1,493.19,493.19
1,519.88,519.88
1,254.89,254.89
1,435.24,435.24
1,471.37,471.37
1,192.74,192.74
1,322.56,322.56
1,483.47,483.47
1,503.70,503.70
1,844.40,844.40
1,969.79,969.79
1,390.89,390.89
1,203.91,203.91
1,693.38,693.38
1,849.68,849.68
1,818.25,818.25
1,708.45,708.45
1,270.01,270.01
1,143.43,143.43
1,252.34,252.34
1,493.19,493.19
1,519.88,519.88
1,254.89,254.89
1,435.24,435.24
1,471.37,471.37
1,192.74,192.74
1,322.56,322.56
1,483.47,483.47
1,503.70,503.70
1,844.40,844.40
1,969.79,969.79
1,390.89,390.89
1,203.91,203.91
1,693.38,693.38
1,849.68,849.68
1,818.25,818.25
1,708.45,708.45
1,462.84,462.84
1,394.24,394.24
1,546.22,546.22
1,515.92,515.92
1,214.56,214.56
1,281.51,281.51
1,839.07,839.07
1,813.33,813.33
1,267.57,267.57
1,304.89,304.89
1,270.01,270.01
1,143.43,143.43
1,252.34,252.34
1,493.19,493.19
1,519.88,519.88
1,254.89,254.89
1,435.24,435.24
1,471.37,471.37
1,192.74,192.74
1,322.56,322.56
1,483.47,483.47
1,503.70,503.70
1,844.40,844.40
1,969.79,969.79
1,390.89,390.89
1,203.91,203.91
1,693.38,693.38
1,849.68,849.68
1,818.25,818.25
1,708.45,708.45
1,244.07,244.07
1,276.20,276.20
1,739.55,739.55
1,642.26,642.26
1,750.16,750.16
1,868.25,868.25
1,710.41,710.41
1,625.67,625.67
1,733.81,733.81
1,692.78,692.78
1,462.93,462.93
1,630.39,630.39
1,788.26,788.26
1,770.89,770.89
1,709.67,709.67
1,613.84,613.84
1,289.43,289.43
1,513.13,513.13
1,572.73,572.73
1,341.27,341.27
1,251.29,251.29
1,232.06,232.06
1,572.69,572.69
1,826.64,826.64
1,713.96,713.96
1,444.74,444.74
1,692.63,692.63
1,717.33,717.33
1,617.54,617.54
1,653.68,653.68
1,244.07,244.07
1,276.20,276.20
1,739.55,739.55
1,642.26,642.26
1,750.16,750.16
1,868.25,868.25
1,710.41,710.41
1,625.67,625.67
1,733.81,733.81
1,692.78,692.78
1,462.93,462.93
1,630.39,630.39
1,788.26,788.26
1,770.89,770.89
1,709.67,709.67
1,613.84,613.84
1,289.43,289.43
1,513.13,513.13
1,572.73,572.73
1,341.27,341.27
1,244.07,244.07
1,276.20,276.20
1,739.55,739.55
1,642.26,642.26
1,750.16,750.16
1,868.25,868.25
1,710.41,710.41
1,625.67,625.67
1,733.81,733.81
1,692.78,692.78
1,462.93,462.93
1,630.39,630.39
1,788.26,788.26
1,770.89,770.89
1,709.67,709.67
1,613.84,613.84
1,289.43,289.43
1,513.13,513.13
1,572.73,572.73
1,341.27,341.27
1,251.29,251.29
1,232.06,232.06
1,572.69,572.69
1,826.64,826.64
1,713.96,713.96
1,444.74,444.74
1,692.63,692.63
1,717.33,717.33
1,617.54,617.54
1,653.68,653.68
1,244.07,244.07
1,276.20,276.20
1,739.55,739.55
1,642.26,642.26
1,750.16,750.16
1,868.25,868.25
1,710.41,710.41
1,625.67,625.67
1,733.81,733.81
1,692.78,692.78
1,462.93,462.93
1,630.39,630.39
1,788.26,788.26
1,770.89,770.89
1,709.67,709.67
1,613.84,613.84
1,289.43,289.43
1,513.13,513.13
1,572.73,572.73
1,341.27,341.27
